Name;Accuracy;Sensitivity;Specificity;Mean(spec,sens);GeoMean(spec,sens)
14_g;12.07;40.19;90.03;65.11;60.15
14_h;20.95;63.49;83.97;73.73;73.02
15_dr;59.19;96.50;60.50;78.50;76.41
15_g;9.85;17.63;94.84;56.23;40.89
15_h;79.36;98.70;48.82;73.76;69.42
